Date,Open,High,Low,Close,Adj Close,Volume
2005-09-08,2.601667,2.680833,2.601667,2.648333,2.432372,64611600
2005-09-09,2.676667,2.688333,2.633333,2.682500,2.463754,45423600
2005-09-12,2.685000,2.693333,2.641667,2.673333,2.455333,55658400
2005-09-13,2.660833,2.767500,2.660833,2.754167,2.529576,85472400
2005-09-14,2.733333,2.770000,2.708333,2.720833,2.498960,50344800
2005-09-15,2.762500,2.800000,2.745833,2.769167,2.543353,75975600
2005-09-16,2.792500,2.807500,2.748333,2.770833,2.544883,51982800
2005-09-19,2.767500,2.776667,2.716667,2.731667,2.508911,42831600
2005-09-20,2.752500,2.815833,2.749167,2.785000,2.557894,52219200
2005-09-21,2.774167,2.829167,2.736667,2.760833,2.535697,62565600
2005-09-22,2.767500,2.767500,2.637500,2.686667,2.467581,73915200
2005-09-23,2.680833,2.749167,2.658333,2.725833,2.503552,31464000
2005-09-26,2.746667,2.767500,2.697500,2.748333,2.524217,40677600
2005-09-27,2.760000,2.784167,2.736667,2.757500,2.532637,40416000
2005-09-28,2.765833,2.781667,2.734167,2.774167,2.547945,35355600
2005-09-29,2.775000,2.833333,2.752500,2.831667,2.600755,51337200
2005-09-30,2.833333,2.882500,2.827500,2.856667,2.623717,45883200
2005-10-03,2.890000,2.955833,2.866667,2.935000,2.695662,54988800
2005-10-04,2.947500,2.995833,2.890000,2.896667,2.660455,51447600
2005-10-05,2.900000,2.900000,2.783333,2.800833,2.572436,59918400
2005-10-06,2.797500,2.840833,2.706667,2.790833,2.563252,68551200
2005-10-07,2.795833,2.824167,2.733333,2.755000,2.530341,55195200
2005-10-10,2.769167,2.774167,2.684167,2.685000,2.466048,45921600
2005-10-11,2.695000,2.718333,2.620833,2.651667,2.435434,54004800
2005-10-12,2.644167,2.724167,2.640833,2.683333,2.464517,65766000
2005-10-13,2.677500,2.681667,2.566667,2.669167,2.451508,50930400
2005-10-14,2.688333,2.721667,2.625000,2.669167,2.451508,31125600
2005-10-17,2.670833,2.721667,2.670833,2.695000,2.475233,24391200
2005-10-18,2.705000,2.710000,2.633333,2.650833,2.434669,29983200
2005-10-19,2.616667,2.632500,2.542500,2.628333,2.414003,63595200
2005-10-20,2.632500,2.701667,2.620833,2.646667,2.430842,35952000
2005-10-21,2.691667,2.700000,2.643333,2.661667,2.444618,29836800
2005-10-24,2.685000,2.734167,2.660833,2.734167,2.511207,29101200
2005-10-25,2.715833,2.760000,2.704167,2.751667,2.527279,33468000
2005-10-26,2.752500,2.758333,2.672500,2.676667,2.458396,41534400
2005-10-27,2.681667,2.690000,2.612500,2.620833,2.407115,22778400
2005-10-28,2.627500,2.706667,2.562500,2.701667,2.481356,46464000
2005-10-31,2.712500,2.815000,2.712500,2.795833,2.567844,43242000
2005-11-01,2.795833,2.816667,2.740000,2.761667,2.536464,40048800
2005-11-02,2.762500,2.925000,2.750000,2.921667,2.683417,52366800
2005-11-03,2.941667,2.958333,2.864167,2.887500,2.652036,46507200
2005-11-04,2.889167,2.895833,2.808333,2.838333,2.606879,57027600
2005-11-07,2.853333,2.863333,2.814167,2.825833,2.595397,37082400
2005-11-08,2.836667,2.839167,2.760833,2.773333,2.547179,53896800
2005-11-09,2.779167,2.916667,2.747500,2.898333,2.661986,81888000
2005-11-10,2.999167,3.064167,2.736667,2.790833,2.563252,250362000
2005-11-11,2.815000,2.870000,2.802500,2.836667,2.605348,54592800
2005-11-14,2.837500,2.916667,2.794167,2.896667,2.660455,49366800
2005-11-15,2.914167,2.941667,2.894167,2.903333,2.666578,49620000
2005-11-16,2.906667,2.922500,2.836667,2.893333,2.657393,45528000
2005-11-17,2.917500,3.024167,2.883333,3.021667,2.775262,70326000
2005-11-18,3.031667,3.056667,2.956667,3.015833,2.769903,46576800
2005-11-21,3.019167,3.074167,2.999167,3.069167,2.818889,45470400
2005-11-22,3.085000,3.180833,3.060833,3.150833,2.893895,73170000
2005-11-23,3.154167,3.187500,3.125000,3.141667,2.885476,41194800
2005-11-25,3.156667,3.177500,3.135000,3.172500,2.913795,11667600
